onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
0.004	n/a	1.0	setup_right_sym	n/a	n/a	n/a	n/a	3	n/a
24.2098181818	n/a	6052.4545	show_face_initial	unfamiliar_face	first_show	1	n/a	13	u032.bmp
25.0352727273	n/a	6258.8182	show_circle	n/a	n/a	1	n/a	0	circle.bmp
25.158	n/a	6289.5	left_press	n/a	n/a	1	n/a	256	n/a
26.7352727273	n/a	6683.8182	show_cross	n/a	n/a	2	n/a	1	cross.bmp
27.2498181818	n/a	6812.4545	show_face	unfamiliar_face	immediate_repeat	2	1	14	u032.bmp
27.8970909091	n/a	6974.2727	left_press	n/a	n/a	2	n/a	256	n/a
28.0998181818	n/a	7024.9545	show_circle	n/a	n/a	2	n/a	0	circle.bmp
29.7998181818	n/a	7449.9545	show_cross	n/a	n/a	3	n/a	1	cross.bmp
30.3570909091	n/a	7589.2727	show_face	unfamiliar_face	first_show	3	n/a	13	u088.bmp
31.188	n/a	7797.0	show_circle	n/a	n/a	3	n/a	0	circle.bmp
32.888	n/a	8222.0	show_cross	n/a	n/a	4	n/a	1	cross.bmp
33.3643636364	n/a	8341.0909	show_face	unfamiliar_face	first_show	4	n/a	13	u084.bmp
34.368	n/a	8592.0	show_circle	n/a	n/a	4	n/a	0	circle.bmp
36.068	n/a	9017.0	show_cross	n/a	n/a	5	n/a	1	cross.bmp
36.5561818182	n/a	9139.0455	show_face	famous_face	first_show	5	n/a	5	f123.bmp
37.3161818182	n/a	9329.0455	right_press	n/a	n/a	5	n/a	4096	n/a
37.3825454545	n/a	9345.6364	show_circle	n/a	n/a	5	n/a	0	circle.bmp
39.0825454545	n/a	9770.6364	show_cross	n/a	n/a	6	n/a	1	cross.bmp
39.5789090909	n/a	9894.7273	show_face	unfamiliar_face	first_show	6	n/a	13	u022.bmp
40.581636363600005	n/a	10145.4091	show_circle	n/a	n/a	6	n/a	0	circle.bmp
42.2816363636	n/a	10570.4091	show_cross	n/a	n/a	7	n/a	1	cross.bmp
42.8025454545	n/a	10700.6364	show_face	famous_face	first_show	7	n/a	5	f094.bmp
43.5489090909	n/a	10887.2273	right_press	n/a	n/a	7	n/a	4096	n/a
43.7198181818	n/a	10929.9545	show_circle	n/a	n/a	7	n/a	0	circle.bmp
45.4198181818	n/a	11354.9545	show_cross	n/a	n/a	8	n/a	1	cross.bmp
46.043454545500005	n/a	11510.8636	show_face	scrambled_face	first_show	8	n/a	17	s150.bmp
46.95072727270001	n/a	11737.6818	show_circle	n/a	n/a	8	n/a	0	circle.bmp
48.6507272727	n/a	12162.6818	show_cross	n/a	n/a	9	n/a	1	cross.bmp
49.1343636364	n/a	12283.5909	show_face	unfamiliar_face	delayed_repeat	9	6	15	u088.bmp
50.1352727273	n/a	12533.8182	show_circle	n/a	n/a	9	n/a	0	circle.bmp
51.8352727273	n/a	12958.8182	show_cross	n/a	n/a	10	n/a	1	cross.bmp
52.3916363636	n/a	13097.9091	show_face	famous_face	first_show	10	n/a	5	f063.bmp
53.100727272700006	n/a	13275.1818	right_press	n/a	n/a	10	n/a	4096	n/a
53.2616363636	n/a	13315.4091	show_circle	n/a	n/a	10	n/a	0	circle.bmp