pres_trial	stimulus	type	latency	event_type	task_role	letter
17	Picture	gM	214552.0	show_letter	non_target	M
17	Picture	WM	214912.0	show_dash	work_memory	n/a
17	Picture	rR	215528.0	show_letter	probe	R
17	Response	1	215748.992	right_click	in_group	n/a
18	Sound	correct	215868.192	sound_beep	correct_feedback	n/a
18	Response	255	216684.992	response	unknown	n/a
19	Picture	nonWM	216702.0	show_cross	ready	n/a
19	Picture	W	218013.0	show_letter	target	W
19	Picture	L	218374.0	show_letter	target	L
19	Picture	D	218734.0	show_letter	target	D
19	Picture	J	219094.0	show_letter	target	J
19	Picture	C	219455.0	show_letter	target	C
19	Picture	gF	219815.0	show_letter	non_target	F
19	Picture	V	220175.0	show_letter	target	V
19	Picture	S	220536.0	show_letter	target	S
19	Picture	WM	220896.0	show_dash	work_memory	n/a
19	Picture	rS	221717.0	show_letter	probe	S
19	Response	1	221937.992	right_click	in_group	n/a
20	Sound	correct	222057.192	sound_beep	correct_feedback	n/a
20	Response	255	222550.992	response	unknown	n/a
21	Picture	nonWM	222568.0	show_cross	ready	n/a
21	Picture	gD	223880.0	show_letter	non_target	D
21	Picture	gB	224240.0	show_letter	non_target	B
21	Picture	gG	224600.0	show_letter	non_target	G
21	Picture	J	224961.0	show_letter	target	J
21	Picture	gW	225321.0	show_letter	non_target	W
21	Picture	L	225681.0	show_letter	target	L
21	Picture	gK	226042.0	show_letter	non_target	K
21	Picture	C	226402.0	show_letter	target	C
21	Picture	WM	226763.0	show_dash	work_memory	n/a
21	Picture	rL	227387.0	show_letter	probe	L
21	Response	1	227566.992	right_click	in_group	n/a
22	Sound	correct	227686.192	sound_beep	correct_feedback	n/a
22	Response	255	227882.992	response	unknown	n/a
23	Picture	nonWM	227898.0	show_cross	ready	n/a
23	Picture	gP	229210.0	show_letter	non_target	P
23	Picture	W	229570.0	show_letter	target	W
23	Picture	F	229931.0	show_letter	target	F
23	Picture	S	230291.0	show_letter	target	S
23	Picture	Z	230651.0	show_letter	target	Z
23	Picture	T	231012.0	show_letter	target	T
23	Picture	K	231372.0	show_letter	target	K
23	Picture	Q	231732.0	show_letter	target	Q
23	Picture	WM	232093.0	show_dash	work_memory	n/a
23	Picture	rL	232784.0	show_letter	probe	L
23	Response	255	233148.992	response	unknown	n/a
24	Sound	correct	233268.192	sound_beep	correct_feedback	n/a
24	Response	1	234334.992	right_click	in_group	n/a
25	Picture	nonWM	234352.0	show_cross	ready	n/a
25	Picture	B	235663.0	show_letter	target	B
25	Picture	N	236024.0	show_letter	target	N
25	Picture	R	236384.0	show_letter	target	R
25	Picture	G	236744.0	show_letter	target	G
25	Picture	Y	237105.0	show_letter	target	Y
25	Picture	Z	237465.0	show_letter	target	Z
25	Picture	M	237825.0	show_letter	target	M
25	Picture	gX	238186.0	show_letter	non_target	X
25	Picture	WM	238546.0	show_dash	work_memory	n/a
25	Picture	rZ	239187.0	show_letter	probe	Z
25	Response	1	239403.992	right_click	in_group	n/a
26	Sound	correct	239523.192	sound_beep	correct_feedback	n/a
26	Response	255	241090.992	response	unknown	n/a
27	Picture	nonWM	241111.0	show_cross	ready	n/a
27	Picture	Y	242422.0	show_letter	target	Y
27	Picture	gC	242783.0	show_letter	non_target	C
27	Picture	gP	243143.0	show_letter	non_target	P
27	Picture	K	243503.0	show_letter	target	K
27	Picture	gR	243864.0	show_letter	non_target	R
27	Picture	gW	244224.0	show_letter	non_target	W
27	Picture	gH	244585.0	show_letter	non_target	H
27	Picture	L	244945.0	show_letter	target	L
27	Picture	WM	245305.0	show_dash	work_memory	n/a
27	Picture	rK	246231.0	show_letter	probe	K
27	Response	1	246383.992	right_click	in_group	n/a
28	Sound	correct	246503.192	sound_beep	correct_feedback	n/a
28	Response	255	247312.992	response	unknown	n/a
29	Picture	nonWM	247329.0	show_cross	ready	n/a
29	Picture	K	248641.0	show_letter	target	K
29	Picture	gS	249001.0	show_letter	non_target	S
29	Picture	gP	249362.0	show_letter	non_target	P
29	Picture	F	249722.0	show_letter	target	F
29	Picture	D	250082.0	show_letter	target	D
29	Picture	L	250443.0	show_letter	target	L
29	Picture	gT	250803.0	show_letter	non_target	T
29	Picture	Z	251164.0	show_letter	target	Z
29	Picture	WM	251524.0	show_dash	work_memory	n/a
29	Picture	rQ	252085.0	show_letter	probe	Q
29	Response	255	252269.992	response	unknown	n/a
30	Sound	correct	252389.192	sound_beep	correct_feedback	n/a
30	Response	1	252585.992	right_click	in_group	n/a
31	Picture	nonWM	252605.0	show_cross	ready	n/a
31	Picture	F	253917.0	show_letter	target	F
31	Picture	gC	254277.0	show_letter	non_target	C
31	Picture	J	254637.0	show_letter	target	J
31	Picture	gQ	254998.0	show_letter	non_target	Q
31	Picture	gT	255358.0	show_letter	non_target	T
31	Picture	S	255718.0	show_letter	target	S
31	Picture	M	256079.0	show_letter	target	M
31	Picture	N	256439.0	show_letter	target	N
31	Picture	WM	256800.0	show_dash	work_memory	n/a
31	Picture	rZ	257851.0	show_letter	probe	Z
31	Response	255	258082.992	response	unknown	n/a
32	Sound	correct	258202.192	sound_beep	correct_feedback	n/a
32	Response	1	258682.992	right_click	in_group	n/a
33	Picture	nonWM	258702.0	show_cross	ready	n/a
33	Picture	Y	260014.0	show_letter	target	Y
33	Picture	D	260374.0	show_letter	target	D
33	Picture	Q	260734.0	show_letter	target	Q
33	Picture	gV	261095.0	show_letter	non_target	V
33	Picture	G	261455.0	show_letter	target	G
33	Picture	L	261815.0	show_letter	target	L
33	Picture	F	262176.0	show_letter	target	F
33	Picture	S	262536.0	show_letter	target	S
33	Picture	WM	262897.0	show_dash	work_memory	n/a
33	Picture	rG	263571.0	show_letter	probe	G
33	Response	1	263843.992	right_click	in_group	n/a
34	Sound	correct	263963.192	sound_beep	correct_feedback	n/a
34	Response	1	265358.992	right_click	in_group	n/a
35	Picture	nonWM	265377.0	show_cross	ready	n/a
35	Picture	gS	266689.0	show_letter	non_target	S
35	Picture	gN	267049.0	show_letter	non_target	N
35	Picture	R	267410.0	show_letter	target	R
35	Picture	X	267770.0	show_letter	target	X
35	Picture	M	268131.0	show_letter	target	M
35	Picture	gT	268491.0	show_letter	non_target	T
35	Picture	gB	268851.0	show_letter	non_target	B
35	Picture	gG	269212.0	show_letter	non_target	G
35	Picture	WM	269572.0	show_dash	work_memory	n/a
35	Picture	rR	270444.0	show_letter	probe	R
35	Response	1	270572.992	right_click	in_group	n/a
36	Sound	correct	270692.192	sound_beep	correct_feedback	n/a
36	Response	255	271719.992	response	unknown	n/a
37	Picture	nonWM	271738.0	show_cross	ready	n/a
37	Picture	gN	273050.0	show_letter	non_target	N
37	Picture	gB	273410.0	show_letter	non_target	B
37	Picture	T	273771.0	show_letter	target	T
37	Picture	S	274131.0	show_letter	target	S
37	Picture	X	274492.0	show_letter	target	X
37	Picture	gC	274852.0	show_letter	non_target	C
37	Picture	gQ	275212.0	show_letter	non_target	Q
37	Picture	gR	275573.0	show_letter	non_target	R
37	Picture	WM	275933.0	show_dash	work_memory	n/a
37	Picture	rS	276792.0	show_letter	probe	S
37	Response	1	277038.992	right_click	in_group	n/a
38	Sound	correct	277158.192	sound_beep	correct_feedback	n/a
38	Response	1	277631.992	right_click	in_group	n/a
39	Picture	nonWM	277651.0	show_cross	ready	n/a
39	Picture	gP	278963.0	show_letter	non_target	P
39	Picture	X	279323.0	show_letter	target	X
39	Picture	gB	279684.0	show_letter	non_target	B
39	Picture	Z	280044.0	show_letter	target	Z
39	Picture	gH	280404.0	show_letter	non_target	H
39	Picture	gV	280765.0	show_letter	non_target	V
39	Picture	gR	281125.0	show_letter	non_target	R
39	Picture	F	281485.0	show_letter	target	F
39	Picture	WM	281846.0	show_dash	work_memory	n/a
39	Picture	rQ	282596.0	show_letter	probe	Q
39	Response	255	282778.992	response	unknown	n/a
40	Sound	correct	282898.192	sound_beep	correct_feedback	n/a
40	Response	1	283437.992	right_click	in_group	n/a
41	Picture	nonWM	283455.0	show_cross	ready	n/a
41	Picture	P	284766.0	show_letter	target	P
41	Picture	gQ	285127.0	show_letter	non_target	Q
41	Picture	S	285487.0	show_letter	target	S
41	Picture	W	285848.0	show_letter	target	W
41	Picture	D	286208.0	show_letter	target	D
41	Picture	F	286568.0	show_letter	target	F
41	Picture	C	286929.0	show_letter	target	C
41	Picture	H	287289.0	show_letter	target	H
41	Picture	WM	287650.0	show_dash	work_memory	n/a
41	Picture	rX	288223.0	show_letter	probe	X
41	Response	255	288460.992	response	unknown	n/a
42	Sound	correct	288580.192	sound_beep	correct_feedback	n/a
42	Response	1	290206.992	right_click	in_group	n/a
43	Picture	nonWM	290227.0	show_cross	ready	n/a
43	Picture	gM	291538.0	show_letter	non_target	M
43	Picture	F	291899.0	show_letter	target	F
43	Picture	G	292259.0	show_letter	target	G
43	Picture	K	292619.0	show_letter	target	K
43	Picture	Z	292980.0	show_letter	target	Z
43	Picture	gQ	293340.0	show_letter	non_target	Q
43	Picture	gY	293700.0	show_letter	non_target	Y
43	Picture	N	294061.0	show_letter	target	N
43	Picture	WM	294421.0	show_dash	work_memory	n/a
43	Picture	rK	295259.0	show_letter	probe	K
43	Response	1	295453.992	right_click	in_group	n/a
44	Sound	correct	295573.192	sound_beep	correct_feedback	n/a
44	Response	255	296323.992	response	unknown	n/a
45	Picture	nonWM	296340.0	show_cross	ready	n/a
45	Picture	gQ	297652.0	show_letter	non_target	Q
45	Picture	P	298012.0	show_letter	target	P
45	Picture	H	298373.0	show_letter	target	H
45	Picture	R	298733.0	show_letter	target	R
45	Picture	X	299094.0	show_letter	target	X
45	Picture	C	299454.0	show_letter	target	C
45	Picture	S	299814.0	show_letter	target	S
45	Picture	V	300175.0	show_letter	target	V
45	Picture	WM	300535.0	show_dash	work_memory	n/a
45	Picture	rZ	301331.0	show_letter	probe	Z
45	Response	1	301622.992	right_click	in_group	n/a
46	Sound	wrong	301742.192	sound_buzz	incorrect_feedback	n/a
46	Response	255	303039.992	response	unknown	n/a
47	Picture	nonWM	303058.0	show_cross	ready	n/a
47	Picture	gP	304369.0	show_letter	non_target	P
47	Picture	gR	304730.0	show_letter	non_target	R
47	Picture	K	305090.0	show_letter	target	K
47	Picture	gW	305450.0	show_letter	non_target	W
47	Picture	C	305811.0	show_letter	target	C
47	Picture	gZ	306171.0	show_letter	non_target	Z
47	Picture	gY	306531.0	show_letter	non_target	Y
47	Picture	X	306892.0	show_letter	target	X
47	Picture	WM	307252.0	show_dash	work_memory	n/a
47	Picture	rB	307818.0	show_letter	probe	B
47	Response	255	308100.992	response	unknown	n/a
48	Sound	correct	308220.192	sound_beep	correct_feedback	n/a
48	Response	1	308390.992	right_click	in_group	n/a
49	Picture	nonWM	308409.0	show_cross	ready	n/a
49	Picture	Q	309720.0	show_letter	target	Q
49	Picture	M	310081.0	show_letter	target	M
49	Picture	gC	310441.0	show_letter	non_target	C
49	Picture	gX	310802.0	show_letter	non_target	X
49	Picture	gS	311162.0	show_letter	non_target	S
49	Picture	W	311522.0	show_letter	target	W
49	Picture	R	311883.0	show_letter	target	R
49	Picture	H	312243.0	show_letter	target	H
49	Picture	WM	312604.0	show_dash	work_memory	n/a
49	Picture	rQ	313580.0	show_letter	probe	Q
49	Response	1	313801.992	right_click	in_group	n/a
50	Sound	correct	313921.192	sound_beep	correct_feedback	n/a
50	Response	1	315640.992	right_click	in_group	n/a
1	Picture	nonWM	318316.0	show_cross	ready	n/a
1	Picture	Z	319627.0	show_letter	target	Z
1	Picture	X	319988.0	show_letter	target	X
1	Picture	S	320348.0	show_letter	target	S
1	Picture	Y	320708.0	show_letter	target	Y
1	Picture	C	321069.0	show_letter	target	C
1	Picture	V	321429.0	show_letter	target	V
1	Picture	T	321789.0	show_letter	target	T
1	Picture	gW	322150.0	show_letter	non_target	W
1	Picture	WM	322510.0	show_dash	work_memory	n/a
1	Picture	rV	323210.0	show_letter	probe	V
1	Response	1	323395.992	right_click	in_group	n/a
2	Sound	correct	323515.192	sound_beep	correct_feedback	n/a
2	Response	255	323922.992	response	unknown	n/a
3	Picture	nonWM	323939.0	show_cross	ready	n/a
3	Picture	F	325251.0	show_letter	target	F
3	Picture	M	325611.0	show_letter	target	M
3	Picture	B	325972.0	show_letter	target	B
3	Picture	gN	326332.0	show_letter	non_target	N
3	Picture	L	326692.0	show_letter	target	L
3	Picture	X	327053.0	show_letter	target	X
3	Picture	J	327413.0	show_letter	target	J
3	Picture	Y	327773.0	show_letter	target	Y
3	Picture	WM	328134.0	show_dash	work_memory	n/a
3	Picture	rP	329068.0	show_letter	probe	P
3	Response	255	329334.992	response	unknown	n/a
4	Sound	correct	329454.192	sound_beep	correct_feedback	n/a
4	Response	1	330876.992	right_click	in_group	n/a
5	Picture	nonWM	330895.0	show_cross	ready	n/a
5	Picture	gR	332207.0	show_letter	non_target	R
5	Picture	gX	332567.0	show_letter	non_target	X
5	Picture	S	332927.0	show_letter	target	S
5	Picture	P	333288.0	show_letter	target	P
5	Picture	N	333648.0	show_letter	target	N
5	Picture	gD	334009.0	show_letter	non_target	D
5	Picture	gG	334369.0	show_letter	non_target	G
5	Picture	gJ	334729.0	show_letter	non_target	J
5	Picture	WM	335090.0	show_dash	work_memory	n/a
5	Picture	rM	335836.0	show_letter	probe	M
5	Response	255	336037.992	response	unknown	n/a
6	Sound	correct	336157.192	sound_beep	correct_feedback	n/a
6	Response	1	337296.992	right_click	in_group	n/a
7	Picture	nonWM	337315.0	show_cross	ready	n/a
7	Picture	gD	338627.0	show_letter	non_target	D
7	Picture	gV	338987.0	show_letter	non_target	V
7	Picture	G	339347.0	show_letter	target	G
7	Picture	gH	339708.0	show_letter	non_target	H
7	Picture	gP	340068.0	show_letter	non_target	P
7	Picture	gJ	340428.0	show_letter	non_target	J
7	Picture	M	340789.0	show_letter	target	M
7	Picture	Z	341149.0	show_letter	target	Z
7	Picture	WM	341510.0	show_dash	work_memory	n/a
7	Picture	rY	342151.0	show_letter	probe	Y
7	Response	255	342312.992	response	unknown	n/a
8	Sound	correct	342432.192	sound_beep	correct_feedback	n/a
8	Response	1	342615.992	right_click	in_group	n/a
9	Picture	nonWM	342633.0	show_cross	ready	n/a
9	Picture	Y	343944.0	show_letter	target	Y
9	Picture	gW	344305.0	show_letter	non_target	W
9	Picture	S	344665.0	show_letter	target	S
9	Picture	J	345025.0	show_letter	target	J
9	Picture	P	345386.0	show_letter	target	P
9	Picture	C	345746.0	show_letter	target	C
9	Picture	D	346107.0	show_letter	target	D
9	Picture	K	346467.0	show_letter	target	K
9	Picture	WM	346827.0	show_dash	work_memory	n/a
9	Picture	rC	347766.0	show_letter	probe	C
9	Response	1	347921.992	right_click	in_group	n/a
10	Sound	correct	348041.192	sound_beep	correct_feedback	n/a
10	Response	255	348844.992	response	unknown	n/a
11	Picture	nonWM	348864.0	show_cross	ready	n/a
11	Picture	gZ	350175.0	show_letter	non_target	Z
11	Picture	W	350536.0	show_letter	target	W
11	Picture	gT	350896.0	show_letter	non_target	T
11	Picture	R	351256.0	show_letter	target	R
11	Picture	H	351617.0	show_letter	target	H
11	Picture	L	351977.0	show_letter	target	L
11	Picture	D	352338.0	show_letter	target	D
11	Picture	gJ	352698.0	show_letter	non_target	J
11	Picture	WM	353058.0	show_dash	work_memory	n/a
11	Picture	rH	353825.0	show_letter	probe	H
11	Response	255	353965.992	response	unknown	n/a
12	Sound	wrong	354085.192	sound_buzz	incorrect_feedback	n/a
12	Response	1	356088.992	right_click	in_group	n/a
13	Picture	nonWM	356105.0	show_cross	ready	n/a
13	Picture	gK	357417.0	show_letter	non_target	K
13	Picture	gH	357777.0	show_letter	non_target	H
13	Picture	L	358137.0	show_letter	target	L
13	Picture	V	358498.0	show_letter	target	V
13	Picture	R	358858.0	show_letter	target	R
13	Picture	gC	359218.0	show_letter	non_target	C
13	Picture	gJ	359579.0	show_letter	non_target	J
13	Picture	gY	359939.0	show_letter	non_target	Y
13	Picture	WM	360299.0	show_dash	work_memory	n/a
13	Picture	rR	360861.0	show_letter	probe	R
13	Response	1	361077.992	right_click	in_group	n/a
14	Sound	correct	361197.192	sound_beep	correct_feedback	n/a
14	Response	1	362290.992	right_click	in_group	n/a
15	Picture	nonWM	362307.0	show_cross	ready	n/a
15	Picture	B	363618.0	show_letter	target	B
15	Picture	gF	363979.0	show_letter	non_target	F
15	Picture	gH	364339.0	show_letter	non_target	H
15	Picture	R	364699.0	show_letter	target	R
15	Picture	gZ	365060.0	show_letter	non_target	Z
15	Picture	G	365420.0	show_letter	target	G
15	Picture	gM	365781.0	show_letter	non_target	M
15	Picture	gV	366141.0	show_letter	non_target	V
15	Picture	WM	366501.0	show_dash	work_memory	n/a
15	Picture	rB	367381.0	show_letter	probe	B
15	Response	1	367537.992	right_click	in_group	n/a
16	Sound	correct	367657.192	sound_beep	correct_feedback	n/a
16	Response	255	367846.992	response	unknown	n/a
17	Picture	nonWM	367863.0	show_cross	ready	n/a
17	Picture	gP	369175.0	show_letter	non_target	P
17	Picture	gM	369535.0	show_letter	non_target	M
17	Picture	D	369895.0	show_letter	target	D
17	Picture	gZ	370256.0	show_letter	non_target	Z
17	Picture	gB	370616.0	show_letter	non_target	B
17	Picture	R	370977.0	show_letter	target	R
17	Picture	gN	371337.0	show_letter	non_target	N
17	Picture	G	371697.0	show_letter	target	G
17	Picture	WM	372058.0	show_dash	work_memory	n/a
17	Picture	rF	372829.0	show_letter	probe	F
17	Response	255	373087.992	response	unknown	n/a
18	Sound	correct	373207.192	sound_beep	correct_feedback	n/a
18	Response	1	373377.992	right_click	in_group	n/a
19	Picture	nonWM	373395.0	show_cross	ready	n/a
19	Picture	W	374706.0	show_letter	target	W
19	Picture	D	375066.0	show_letter	target	D
19	Picture	R	375427.0	show_letter	target	R
19	Picture	Z	375787.0	show_letter	target	Z
19	Picture	M	376148.0	show_letter	target	M
19	Picture	gT	376508.0	show_letter	non_target	T
19	Picture	H	376868.0	show_letter	target	H
19	Picture	L	377229.0	show_letter	target	L
19	Picture	WM	377589.0	show_dash	work_memory	n/a
19	Picture	rW	378620.0	show_letter	probe	W
19	Response	1	378755.992	right_click	in_group	n/a
20	Sound	correct	378875.192	sound_beep	correct_feedback	n/a
20	Response	255	379144.992	response	unknown	n/a
21	Picture	nonWM	379161.0	show_cross	ready	n/a
21	Picture	K	380472.0	show_letter	target	K
21	Picture	G	380833.0	show_letter	target	G
21	Picture	J	381193.0	show_letter	target	J
21	Picture	Z	381553.0	show_letter	target	Z
21	Picture	H	381914.0	show_letter	target	H
21	Picture	D	382274.0	show_letter	target	D
21	Picture	gP	382634.0	show_letter	non_target	P
21	Picture	V	382995.0	show_letter	target	V
21	Picture	WM	383355.0	show_dash	work_memory	n/a
21	Picture	rG	384248.0	show_letter	probe	G
21	Response	1	384456.992	right_click	in_group	n/a
22	Sound	correct	384577.192	sound_beep	correct_feedback	n/a
22	Response	255	385036.992	response	unknown	n/a
23	Picture	nonWM	385056.0	show_cross	ready	n/a
23	Picture	gC	386368.0	show_letter	non_target	C
23	Picture	gP	386728.0	show_letter	non_target	P
23	Picture	X	387089.0	show_letter	target	X
23	Picture	gZ	387449.0	show_letter	non_target	Z
23	Picture	T	387809.0	show_letter	target	T
23	Picture	Y	388170.0	show_letter	target	Y
23	Picture	J	388530.0	show_letter	target	J
23	Picture	B	388891.0	show_letter	target	B
23	Picture	WM	389251.0	show_dash	work_memory	n/a
23	Picture	rH	390098.0	show_letter	probe	H
23	Response	255	390290.992	response	unknown	n/a
24	Sound	correct	390410.192	sound_beep	correct_feedback	n/a
24	Response	1	390988.992	right_click	in_group	n/a
25	Picture	nonWM	391007.0	show_cross	ready	n/a
25	Picture	P	392319.0	show_letter	target	P
25	Picture	gY	392679.0	show_letter	non_target	Y
25	Picture	R	393039.0	show_letter	target	R
25	Picture	T	393400.0	show_letter	target	T
25	Picture	B	393760.0	show_letter	target	B
25	Picture	G	394120.0	show_letter	target	G
25	Picture	V	394481.0	show_letter	target	V
25	Picture	M	394841.0	show_letter	target	M
25	Picture	WM	395202.0	show_dash	work_memory	n/a
25	Picture	rP	395972.0	show_letter	probe	P
25	Response	1	396162.992	right_click	in_group	n/a
26	Sound	correct	396282.192	sound_beep	correct_feedback	n/a
26	Response	1	397296.992	right_click	in_group	n/a
27	Picture	nonWM	397314.0	show_cross	ready	n/a
27	Picture	gD	398625.0	show_letter	non_target	D
27	Picture	gC	398986.0	show_letter	non_target	C
27	Picture	R	399346.0	show_letter	target	R
27	Picture	gG	399706.0	show_letter	non_target	G
27	Picture	Z	400067.0	show_letter	target	Z
27	Picture	gX	400427.0	show_letter	non_target	X
27	Picture	gL	400787.0	show_letter	non_target	L
27	Picture	K	401148.0	show_letter	target	K
27	Picture	WM	401508.0	show_dash	work_memory	n/a
27	Picture	rK	402359.0	show_letter	probe	K
27	Response	1	402562.992	right_click	in_group	n/a
28	Sound	correct	402682.192	sound_beep	correct_feedback	n/a
28	Response	1	404098.992	right_click	in_group	n/a
29	Picture	nonWM	404115.0	show_cross	ready	n/a
29	Picture	gG	405426.0	show_letter	non_target	G
29	Picture	L	405787.0	show_letter	target	L
29	Picture	X	406147.0	show_letter	target	X
29	Picture	gP	406507.0	show_letter	non_target	P
29	Picture	gH	406868.0	show_letter	non_target	H
29	Picture	gM	407228.0	show_letter	non_target	M
29	Picture	N	407588.0	show_letter	target	N
29	Picture	gR	407949.0	show_letter	non_target	R
29	Picture	WM	408309.0	show_dash	work_memory	n/a
29	Picture	rZ	409047.0	show_letter	probe	Z
29	Response	255	409233.992	response	unknown	n/a
30	Sound	correct	409353.192	sound_beep	correct_feedback	n/a
30	Response	1	409885.992	right_click	in_group	n/a
31	Picture	nonWM	409901.0	show_cross	ready	n/a
31	Picture	D	411213.0	show_letter	target	D
31	Picture	Q	411573.0	show_letter	target	Q
31	Picture	G	411934.0	show_letter	target	G
31	Picture	gM	412294.0	show_letter	non_target	M
31	Picture	P	412654.0	show_letter	target	P
31	Picture	gV	413015.0	show_letter	non_target	V
31	Picture	gF	413375.0	show_letter	non_target	F
31	Picture	T	413736.0	show_letter	target	T
31	Picture	WM	414096.0	show_dash	work_memory	n/a
31	Picture	rB	414674.0	show_letter	probe	B
31	Response	1	414954.992	right_click	in_group	n/a
32	Sound	wrong	415074.192	sound_buzz	incorrect_feedback	n/a
32	Response	255	415969.992	response	unknown	n/a
33	Picture	nonWM	415986.0	show_cross	ready	n/a
33	Picture	J	417298.0	show_letter	target	J
33	Picture	T	417658.0	show_letter	target	T
33	Picture	L	418018.0	show_letter	target	L
33	Picture	X	418379.0	show_letter	target	X
33	Picture	S	418739.0	show_letter	target	S
33	Picture	G	419099.0	show_letter	target	G
33	Picture	Q	419460.0	show_letter	target	Q
33	Picture	gR	419820.0	show_letter	non_target	R
33	Picture	WM	420181.0	show_dash	work_memory	n/a
